from_community,from_id,to_community,to_id,crow_km,bike_reachable,bike_reachable_without_flying,n_options,n_options_with_bike,n_options_without_flying,boardings,modes,operators,journey_km,schedule_cautions,everyday_option_exists,recommended_summary,recommended_boardings,recommended_modes,recommended_operators,recommended_journey_km,recommended_schedule_cautions
Mayne Island,mayne-island,Hope,hope,149,TRUE,TRUE,5,5,5,4,ferry; local-bus; skytrain; bus,BC Ferries; TransLink; Mountain Man Mike's,,limited,TRUE,"Ferry, city bus, SkyTrain, then coach bus.",4,ferry; local-bus; skytrain; bus,BC Ferries; TransLink; Ebus,,
Mayne Island,mayne-island,Hornby Island,hornby-island,125,TRUE,TRUE,8,4,3,8,ferry; local-bus; skytrain; ferry; carpool; local-bus; ferry; ferry,BC Ferries; TransLink; Hullo; Poparide; BC Transit,,on-demand,FALSE,"Ferry, city bus, city bus, city bus, carpool, city bus, ferry, then ferry.",8,ferry; local-bus; local-bus; local-bus; carpool; local-bus; ferry; ferry,BC Ferries; BC Transit; Poparide,281.3,on-demand
Mayne Island,mayne-island,Houston,houston,659,TRUE,TRUE,5,5,4,5,ferry; local-bus; skytrain; intercity-train; intercity-train,BC Ferries; TransLink; VIA Rail,,limited,FALSE,"Ferry, city bus, SkyTrain, train, then train.",5,ferry; local-bus; skytrain; intercity-train; intercity-train,BC Ferries; TransLink; VIA Rail,,limited
Mayne Island,mayne-island,Kamloops,kamloops,296,TRUE,TRUE,5,5,4,4,ferry; local-bus; skytrain; bus,BC Ferries; TransLink; Ebus,,,TRUE,"Ferry, city bus, SkyTrain, then coach bus.",4,ferry; local-bus; skytrain; bus,BC Ferries; TransLink; Ebus,,
Mayne Island,mayne-island,Kaslo,kaslo,479,TRUE,TRUE,3,3,2,4,ferry; local-bus; skytrain; bus,BC Ferries; TransLink; Mountain Man Mike's,,limited,FALSE,"Ferry, city bus, SkyTrain, then coach bus.",4,ferry; local-bus; skytrain; bus,BC Ferries; TransLink; Mountain Man Mike's,,limited
Mayne Island,mayne-island,Kelowna,kelowna,300,TRUE,TRUE,3,3,2,4,ferry; local-bus; skytrain; bus,BC Ferries; TransLink; Ebus,,,TRUE,"Ferry, city bus, SkyTrain, then coach bus.",4,ferry; local-bus; skytrain; bus,BC Ferries; TransLink; Ebus,,
Mayne Island,mayne-island,Keremeos,keremeos,258,TRUE,TRUE,4,4,3,4,ferry; local-bus; skytrain; bus,BC Ferries; TransLink; Mountain Man Mike's,,limited,FALSE,"Ferry, city bus, SkyTrain, then coach bus.",4,ferry; local-bus; skytrain; bus,BC Ferries; TransLink; Mountain Man Mike's,,limited
Mayne Island,mayne-island,Kimberley,kimberley,539,TRUE,TRUE,5,5,4,6,ferry; local-bus; skytrain; bus; bus; local-bus,BC Ferries; TransLink; Mountain Man Mike's; BC Transit,,limited,FALSE,"Ferry, city bus, SkyTrain, coach bus, coach bus, then city bus.",6,ferry; local-bus; skytrain; bus; bus; local-bus,BC Ferries; TransLink; Mountain Man Mike's; BC Transit,,limited
Mayne Island,mayne-island,Ladysmith,ladysmith,40,TRUE,TRUE,5,5,4,4,ferry; ferry; local-bus; local-bus,BC Ferries; BC Transit,87.8,,TRUE,"Ferry, city bus, city bus, then city bus.",4,ferry; local-bus; local-bus; local-bus,BC Ferries; BC Transit,129.6,
Mayne Island,mayne-island,Lake Cowichan,lake-cowichan,54,TRUE,TRUE,9,9,9,4,ferry; ferry; local-bus; local-bus,BC Ferries; BC Transit,88.0,,TRUE,"Ferry, city bus, city bus, then city bus.",4,ferry; local-bus; local-bus; local-bus,BC Ferries; BC Transit,129.8,
Mayne Island,mayne-island,Langford,langford,46,TRUE,TRUE,4,4,4,3,ferry; local-bus; local-bus,BC Ferries; BC Transit,63.0,,TRUE,"Ferry, city bus, then city bus.",3,ferry; local-bus; local-bus,BC Ferries; BC Transit,63.0,
Mayne Island,mayne-island,Langley,langley,56,TRUE,TRUE,7,7,6,4,ferry; local-bus; skytrain; bus,BC Ferries; TransLink; Mountain Man Mike's,,limited,TRUE,"Ferry, city bus, SkyTrain, then city bus.",4,ferry; local-bus; skytrain; local-bus,BC Ferries; TransLink; BC Transit,,
